sortie_id,cadet_id,instructor_id,aircraft_id,base_id,scheduled_start,scheduled_end,actual_start,actual_end,status,delay_minutes,cancel_reason,lesson_type
S057,C007,I004,A008,B02,2025-12-15,2025-12-15 03:00:00,2025-12-15 00:02:00,2025-12-15 03:02:00,completed,2,,General Handling
S058,C008,I006,A003,B02,2026-05-11,2026-05-11 03:00:00,,,completed,25,,Navigation
S059,C018,I005,A003,B02,2026-04-18,2026-04-18 01:00:00,2026-04-18 00:50:00,2026-04-18 01:50:00,completed,50,,General Handling
S060,C006,I001,A005,B02,2026-04-15,2026-04-15 01:00:00,2026-04-15 00:00:00,2026-04-15 01:00:00,completed,-1,,Navigation
S061,C005,I003,A005,B01,2026-03-12,2026-03-12 01:00:00,2026-03-12 00:43:00,2026-03-12 01:43:00,completed,43,,Cross-Country
S062,C008,I009,A007,B02,2026-01-21,2026-01-21 02:00:00,,,cancelled,0,Instructor Unavailable,Cross-Country
S063,C002,I010,A002,B01,2025-12-05,2025-12-05 01:00:00,2025-12-05 00:00:00,2025-12-05 01:00:00,completed,0,,Circuit
S064,C018,I002,A003,B01,2026-01-30,2026-01-30 02:00:00,2026-01-30 00:50:00,2026-01-30 02:50:00,completed,50,,Circuit
S065,C010,I005,A008,B01,2025-11-20,2025-11-20 01:00:00,,,cancelled,0,Cadet Illness,Circuit
S066,C014,I002,A004,B01,2026-03-07,2026-03-07 01:00:00,2026-03-07 00:11:00,2026-03-07 01:11:00,completed,11,,Cross-Country
S067,C024,I010,A005,B02,2026-04-13,2026-04-13 02:00:00,2026-04-13 00:41:00,2026-04-13 02:41:00,completed,41,,Cross-Country
S068,C018,I008,A008,B01,2025-12-12,2025-12-12 01:00:00,,,cancelled,0,Maintenance,Navigation
S069,C003,I004,A001,B02,2025-12-18,2025-12-18 01:00:00,,,cancelled,0,Aircraft Defect,Instrument Flying
S070,C030,I005,A003,B02,2025-12-03,2025-12-03 02:00:00,,,cancelled,0,Instructor Unavailable,General Handling
S071,C011,I002,A003,B02,2026-01-29,2026-01-29 03:00:00,2026-01-29 00:41:00,2026-01-29 03:41:00,completed,41,,Cross-Country
S072,C002,I008,A002,B02,2026-03-11,2026-03-11 02:00:00,2026-03-11 00:41:00,2026-03-11 02:41:00,completed,41,,Navigation
S073,C022,I009,A008,B02,2026-05-01,2026-05-01 01:00:00,2026-05-01 00:53:00,2026-05-01 01:53:00,completed,53,,Navigation
S074,C007,I005,A003,B02,2026-01-22,2026-01-22 03:00:00,2026-01-22 00:00:00,2026-01-22 03:00:00,completed,-7,,Cross-Country
S075,C026,I004,A003,B02,2025-12-24,2025-12-24 01:00:00,2025-12-24 00:01:00,2025-12-24 01:01:00,completed,1,,Navigation
S076,C015,I002,A003,B02,2026-03-01,2026-03-01 03:00:00,2026-03-01 00:43:00,2026-03-01 03:43:00,completed,43,,Instrument Flying
S077,C008,I008,A003,B02,2026-03-27,2026-03-27 03:00:00,2026-03-27 00:07:00,2026-03-27 03:07:00,completed,7,,General Handling
S078,C025,I007,A006,B02,2026-05-14,2026-05-14 02:00:00,2026-05-14 00:52:00,2026-05-14 02:52:00,completed,52,,Instrument Flying
S079,C018,I008,A006,B02,2025-12-24,2025-12-24 03:00:00,2025-12-24 00:31:00,2025-12-24 03:31:00,completed,31,,Circuit
S080,C019,I007,A004,B02,2026-05-03,2026-05-03 02:00:00,2026-05-03 00:38:00,2026-05-03 02:38:00,completed,38,,Circuit
S081,C016,I001,A003,B02,2026-04-19,2026-04-19 02:00:00,,,completed,48,,Circuit
S082,C014,I003,A002,B02,2026-03-08,2026-03-08 02:00:00,2026-03-08 00:40:00,2026-03-08 02:40:00,completed,40,,General Handling
S083,C028,I009,A007,B02,2025-12-05,2025-12-05 03:00:00,,,cancelled,0,Instructor Unavailable,Navigation
S084,C020,I002,A004,B02,2026-03-17,2026-03-17 03:00:00,2026-03-17 00:02:00,2026-03-17 03:02:00,completed,2,,Navigation
S085,C015,I003,A005,B01,2026-05-03,2026-05-03 02:00:00,,,cancelled,0,Maintenance,Instrument Flying
S086,C005,I004,A007,B01,2026-04-01,2026-04-01 01:00:00,2026-04-01 00:38:00,2026-04-01 01:38:00,completed,38,,Circuit
S087,C016,I010,A003,B01,2026-01-16,2026-01-16 03:00:00,2026-01-16 00:22:00,2026-01-16 03:22:00,completed,22,,Instrument Flying
S088,C029,I005,A003,B01,2026-01-21,2026-01-21 02:00:00,,,cancelled,0,Maintenance,Instrument Flying
S089,C023,I005,A008,B02,2026-03-25,2026-03-25 02:00:00,,,cancelled,0,Weather,Cross-Country
S090,C012,I010,A005,B02,2026-05-09,2026-05-09 03:00:00,2026-05-09 00:00:00,2026-05-09 03:00:00,completed,-9,,Navigation
S091,C030,I010,A008,B02,2026-03-17,2026-03-17 03:00:00,,,cancelled,0,Aircraft Defect,Cross-Country
S092,C009,I003,A002,B01,2026-02-24,2026-02-24 02:00:00,2026-02-24 00:36:00,2026-02-24 02:36:00,completed,36,,Navigation
S093,C030,I005,A006,B02,2026-03-31,2026-03-31 01:00:00,2026-03-31 00:59:00,2026-03-31 01:59:00,completed,59,,General Handling
S094,C017,I009,A005,B01,2026-03-10,2026-03-10 02:00:00,,,cancelled,0,Maintenance,General Handling
S095,C026,I002,A008,B01,2026-04-08,2026-04-08 01:00:00,,,cancelled,0,Instructor Unavailable,Cross-Country
S096,C012,I002,A007,B01,2026-03-08,2026-03-08 03:00:00,2026-03-08 00:37:00,2026-03-08 03:37:00,completed,37,,General Handling
S097,C019,I007,A006,B01,2025-11-23,2025-11-23 01:00:00,2025-11-23 00:31:00,2025-11-23 01:31:00,completed,31,,Circuit
S098,C021,I002,A008,B02,2025-11-29,2025-11-29 02:00:00,2025-11-29 00:00:00,2025-11-29 02:00:00,completed,-5,,General Handling
S099,C016,I002,A002,B01,2025-12-28,2025-12-28 01:00:00,2025-12-28 00:37:00,2025-12-28 01:37:00,completed,37,,Cross-Country
S100,C014,I010,A003,B02,2025-11-28,2025-11-28 01:00:00,,,cancelled,0,Cadet Illness,General Handling
S101,C002,I006,A004,B02,2026-01-21,2026-01-21 01:00:00,,,cancelled,0,Weather,General Handling
S102,C018,I006,A001,B02,2026-03-05,2026-03-05 01:00:00,2026-03-05 00:00:00,2026-03-05 00:00:00,cancelled,0,Instructor Unavailable,Cross-Country
S103,C001,I001,A006,B01,2026-04-12,2026-04-12 03:00:00,2026-04-12 01:00:00,2026-04-12 04:00:00,completed,60,,Circuit
S104,C027,I004,A006,B01,2025-12-13,2025-12-13 01:00:00,2025-12-13 00:08:00,2025-12-13 01:08:00,completed,8,,Cross-Country
S105,C009,I003,A002,B01,2026-04-11,2026-04-11 01:00:00,2026-04-11 00:20:00,2026-04-11 01:20:00,completed,20,,Navigation
S106,C006,I005,A001,B01,2026-01-27,2026-01-27 03:00:00,2026-01-27 00:00:00,2026-01-27 03:00:00,completed,-2,,General Handling
S107,C017,I010,A002,B02,2026-01-06,2026-01-06 01:00:00,,,cancelled,0,Weather,Cross-Country
S108,C010,I008,A001,B01,2026-01-12,2026-01-12 02:00:00,2026-01-12 00:03:00,2026-01-12 02:03:00,completed,3,,Instrument Flying
S109,C003,I002,A006,B01,2026-04-28,2026-04-28 01:00:00,2026-04-28 01:00:00,2026-04-28 02:00:00,completed,60,,Instrument Flying
S110,C020,I009,A005,B02,2026-01-05,2026-01-05 03:00:00,2026-01-05 00:04:00,2026-01-05 03:04:00,completed,4,,Cross-Country
S111,C024,I004,A007,B02,2026-03-17,2026-03-17 02:00:00,2026-03-17 00:48:00,2026-03-17 02:48:00,completed,48,,Navigation
S112,C011,I007,A006,B02,2026-02-08,2026-02-08 01:00:00,2026-02-08 00:50:00,2026-02-08 01:50:00,completed,50,,Navigation
S113,C003,I007,A002,B02,2026-04-11,2026-04-11 03:00:00,2026-04-11 00:32:00,2026-04-11 03:32:00,completed,32,,Instrument Flying
S114,C012,I007,A001,B02,2025-12-12,2025-12-12 02:00:00,2025-12-12 00:54:00,2025-12-12 02:54:00,completed,54,,Instrument Flying
S115,C008,I002,A006,B02,2026-04-15,2026-04-15 02:00:00,2026-04-15 00:44:00,2026-04-15 02:44:00,completed,44,,Cross-Country
S116,C020,I009,A001,B02,2026-05-07,2026-05-07 01:00:00,2026-05-07 00:29:00,2026-05-07 01:29:00,completed,29,,General Handling
S117,C001,I003,A003,B02,2026-04-27,2026-04-27 01:00:00,2026-04-27 00:00:00,2026-04-27 01:00:00,completed,-7,,Cross-Country
S118,C007,I007,A007,B02,2026-02-16,2026-02-16 01:00:00,2026-02-16 00:31:00,2026-02-16 01:31:00,completed,31,,Cross-Country
S119,C020,I002,A001,B01,2026-04-04,2026-04-04 03:00:00,2026-04-04 00:00:00,2026-04-04 03:00:00,completed,0,,Instrument Flying
S120,C016,I010,A008,B02,2026-03-06,2026-03-06 01:00:00,,,cancelled,0,Weather,Navigation
S121,C010,I010,A008,B02,2026-05-03,2026-05-03 01:00:00,,,completed,-3,,General Handling
S122,C007,I003,A005,B02,2026-02-20,2026-02-20 01:00:00,2026-02-20 00:45:00,2026-02-20 01:45:00,completed,45,,Instrument Flying
S123,C018,I004,A006,B01,2026-02-02,2026-02-02 03:00:00,2026-02-02 00:00:00,2026-02-02 03:00:00,completed,-8,,Navigation
S124,C028,I006,A007,B02,2025-12-02,2025-12-02 02:00:00,,,completed,41,,General Handling
S125,C006,I010,A008,B02,2026-04-22,2026-04-22 02:00:00,,,cancelled,0,Aircraft Defect,Instrument Flying
S126,C017,I002,A007,B02,2026-02-17,2026-02-17 01:00:00,2026-02-17 00:11:00,2026-02-17 01:11:00,completed,11,,Navigation
S127,C017,I009,A004,B02,2026-02-14,2026-02-14 03:00:00,,,cancelled,0,Aircraft Defect,Circuit
S128,C009,I004,A003,B01,2025-11-28,2025-11-28 01:00:00,2025-11-28 00:53:00,2025-11-28 01:53:00,completed,53,,Cross-Country
S129,C025,I010,A008,B02,2025-12-05,2025-12-05 02:00:00,2025-12-05 00:00:00,2025-12-05 02:00:00,completed,-2,,General Handling
S130,C026,I005,A001,B02,2026-01-05,2026-01-05 01:00:00,,,completed,47,,General Handling
S131,C027,I005,A002,B01,2025-12-08,2025-12-08 03:00:00,2025-12-08 00:49:00,2025-12-08 03:49:00,completed,49,,Navigation
S132,C015,I010,A004,B02,2025-12-11,2025-12-11 02:00:00,2025-12-11 00:00:00,2025-12-11 02:00:00,completed,-3,,General Handling
S133,C023,I002,A003,B01,2026-03-12,2026-03-12 03:00:00,2026-03-12 00:46:00,2026-03-12 03:46:00,completed,46,,Cross-Country
S134,C006,I006,A006,B02,2026-02-04,2026-02-04 02:00:00,2026-02-04 00:00:00,2026-02-04 02:00:00,cancelled,0,Cadet Illness,General Handling
S135,C003,I006,A002,B02,2026-03-03,2026-03-03 02:00:00,2026-03-03 00:09:00,2026-03-03 02:09:00,completed,9,,Cross-Country
S136,C022,I003,A006,B02,2025-11-28,2025-11-28 03:00:00,2025-11-28 00:06:00,2025-11-28 03:06:00,completed,6,,Navigation
S137,C010,I009,A007,B02,2026-04-12,2026-04-12 03:00:00,2026-04-12 00:57:00,2026-04-12 03:57:00,completed,57,,Instrument Flying
S138,C017,I006,A001,B02,2026-02-24,2026-02-24 01:00:00,,,cancelled,0,Maintenance,Instrument Flying
S139,C007,I004,A003,B01,2026-04-25,2026-04-25 02:00:00,,,cancelled,0,Weather,Cross-Country
S140,C027,I009,A001,B02,2025-12-07,2025-12-07 01:00:00,2025-12-07 00:09:00,2025-12-07 01:09:00,completed,9,,Cross-Country
S141,C026,I003,A008,B01,2026-01-29,2026-01-29 02:00:00,2026-01-29 00:20:00,2026-01-29 02:20:00,completed,20,,Cross-Country
S142,C010,I008,A004,B01,2026-02-24,2026-02-24 02:00:00,,,cancelled,0,Aircraft Defect,Cross-Country
S143,C015,I008,A005,B02,2026-01-06,2026-01-06 03:00:00,2026-01-06 00:10:00,2026-01-06 03:10:00,completed,10,,Cross-Country
S144,C005,I005,A001,B02,2026-02-08,2026-02-08 03:00:00,,,cancelled,0,Cadet Illness,General Handling
S145,C003,I003,A005,B02,2026-01-03,2026-01-03 01:00:00,,,cancelled,0,Weather,Circuit
S146,C027,I008,A006,B01,2026-01-28,2026-01-28 01:00:00,2026-01-28 00:37:00,2026-01-28 01:37:00,completed,37,,Navigation
S147,C012,I004,A001,B02,2026-04-19,2026-04-19 03:00:00,2026-04-19 00:08:00,2026-04-19 03:08:00,completed,8,,General Handling
S148,C030,I008,A003,B02,2026-01-20,2026-01-20 03:00:00,,,completed,0,,Circuit
S149,C027,I003,A007,B01,2026-03-02,2026-03-02 01:00:00,2026-03-02 00:00:00,2026-03-02 01:00:00,completed,-4,,Cross-Country
S150,C015,I002,A002,B02,2025-12-13,2025-12-13 03:00:00,2025-12-13 00:55:00,2025-12-13 03:55:00,completed,55,,Circuit
S151,C010,I007,A001,B02,2026-03-14,2026-03-14 03:00:00,2026-03-14 00:00:00,2026-03-14 03:00:00,completed,0,,General Handling
S152,C003,I009,A001,B02,2026-01-14,2026-01-14 01:00:00,2026-01-14 00:37:00,2026-01-14 01:37:00,completed,37,,Navigation
S153,C012,I002,A006,B01,2025-11-27,2025-11-27 03:00:00,2025-11-27 00:32:00,2025-11-27 03:32:00,completed,32,,General Handling
S154,C018,I006,A003,B02,2025-11-17,2025-11-17 02:00:00,2025-11-17 00:07:00,2025-11-17 02:07:00,completed,7,,Instrument Flying
S155,C002,I005,A004,B01,2026-03-24,2026-03-24 01:00:00,2026-03-24 00:29:00,2026-03-24 01:29:00,completed,29,,Cross-Country
S156,C016,I005,A001,B01,2026-03-02,2026-03-02 02:00:00,,,cancelled,0,Weather,General Handling
S157,C009,I002,A006,B02,2026-02-01,2026-02-01 03:00:00,2026-02-01 00:39:00,2026-02-01 03:39:00,completed,39,,Circuit
S158,C016,I008,A006,B02,2026-04-23,2026-04-23 03:00:00,2026-04-23 00:45:00,2026-04-23 03:45:00,completed,45,,Circuit
S159,C018,I005,A006,B01,2026-04-24,2026-04-24 02:00:00,2026-04-24 00:29:00,2026-04-24 02:29:00,completed,29,,Instrument Flying
S160,C006,I008,A006,B02,2026-05-04,2026-05-04 03:00:00,,,cancelled,0,Maintenance,Instrument Flying
S161,C009,I001,A002,B02,2026-02-10,2026-02-10 03:00:00,,,cancelled,0,Aircraft Defect,Circuit
S162,C028,I010,A008,B01,2026-04-12,2026-04-12 01:00:00,2026-04-12 00:36:00,2026-04-12 01:36:00,completed,36,,Cross-Country
S163,C002,I010,A003,B02,2026-02-09,2026-02-09 02:00:00,2026-02-09 00:00:00,2026-02-09 02:00:00,completed,-1,,Cross-Country
S164,C012,I007,A006,B02,2026-03-12,2026-03-12 01:00:00,2026-03-12 00:13:00,2026-03-12 01:13:00,completed,13,,Instrument Flying
S165,C030,I009,A002,B02,2026-03-09,2026-03-09 03:00:00,2026-03-09 00:26:00,2026-03-09 03:26:00,completed,26,,Instrument Flying
S166,C007,I002,A003,B01,2026-01-19,2026-01-19 01:00:00,,,cancelled,0,Instructor Unavailable,General Handling
S167,C022,I006,A002,B02,2026-02-27,2026-02-27 01:00:00,2026-02-27 00:12:00,2026-02-27 01:12:00,completed,12,,Cross-Country
S168,C008,I002,A004,B01,2026-03-15,2026-03-15 02:00:00,2026-03-15 01:00:00,2026-03-15 03:00:00,completed,60,,Instrument Flying
S169,C026,I009,A003,B01,2026-04-28,2026-04-28 02:00:00,2026-04-28 00:51:00,2026-04-28 02:51:00,completed,51,,Instrument Flying
S170,C027,I010,A002,B01,2026-02-22,2026-02-22 03:00:00,2026-02-22 00:49:00,2026-02-22 03:49:00,completed,49,,General Handling
S171,C005,I009,A003,B01,2026-01-24,2026-01-24 03:00:00,,,cancelled,0,Weather,Cross-Country
S172,C005,I005,A003,B01,2026-02-21,2026-02-21 03:00:00,2026-02-21 00:56:00,2026-02-21 03:56:00,completed,56,,Navigation
S173,C009,I004,A005,B01,2025-12-05,2025-12-05 02:00:00,2025-12-05 00:01:00,2025-12-05 02:01:00,completed,1,,Circuit
S174,C019,I010,A003,B01,2025-11-27,2025-11-27 03:00:00,2025-11-27 00:33:00,2025-11-27 03:33:00,completed,33,,Cross-Country
S175,C002,I001,A002,B01,2025-12-01,2025-12-01 03:00:00,2025-12-01 00:16:00,2025-12-01 03:16:00,completed,16,,Instrument Flying
S176,C020,I001,A008,B02,2025-12-01,2025-12-01 02:00:00,2025-12-01 00:41:00,2025-12-01 02:41:00,completed,41,,Navigation
S177,C023,I001,A003,B02,2026-01-28,2026-01-28 02:00:00,2026-01-28 00:33:00,2026-01-28 02:33:00,completed,33,,General Handling
S178,C028,I006,A006,B02,2026-04-11,2026-04-11 02:00:00,2026-04-11 00:03:00,2026-04-11 02:03:00,completed,3,,Instrument Flying
S179,C004,I005,A008,B01,2026-04-08,2026-04-08 01:00:00,2026-04-08 00:39:00,2026-04-08 01:39:00,completed,39,,Instrument Flying
S180,C008,I003,A006,B02,2026-03-27,2026-03-27 01:00:00,2026-03-27 00:55:00,2026-03-27 01:55:00,completed,55,,General Handling
S181,C016,I001,A002,B02,2026-01-05,2026-01-05 02:00:00,,,cancelled,0,Aircraft Defect,Navigation
S182,C002,I005,A008,B02,2026-03-02,2026-03-02 03:00:00,2026-03-02 00:03:00,2026-03-02 03:03:00,completed,3,,General Handling
S183,C024,I006,A007,B02,2026-05-03,2026-05-03 02:00:00,2026-05-03 00:14:00,2026-05-03 02:14:00,completed,14,,General Handling
S184,C003,I007,A008,B02,2025-12-06,2025-12-06 03:00:00,2025-12-06 00:06:00,2025-12-06 03:06:00,completed,6,,Instrument Flying
S185,C012,I006,A006,B01,2026-03-25,2026-03-25 03:00:00,,,completed,54,,Navigation
S186,C005,I006,A008,B02,2026-04-06,2026-04-06 03:00:00,,,cancelled,0,Aircraft Defect,Cross-Country
S187,C011,I003,A007,B02,2025-12-14,2025-12-14 02:00:00,2025-12-14 00:55:00,2025-12-14 02:55:00,completed,55,,Cross-Country
S188,C010,I008,A001,B02,2026-02-19,2026-02-19 03:00:00,2026-02-19 00:43:00,2026-02-19 03:43:00,completed,43,,Navigation
S189,C020,I008,A005,B01,2026-05-01,2026-05-01 03:00:00,2026-05-01 00:57:00,2026-05-01 03:57:00,completed,57,,Cross-Country
S190,C025,I007,A003,B01,2026-05-06,2026-05-06 03:00:00,,,cancelled,0,Weather,Instrument Flying
S191,C011,I007,A003,B02,2025-11-19,2025-11-19 01:00:00,2025-11-19 00:50:00,2025-11-19 01:50:00,completed,50,,Navigation
S192,C023,I003,A004,B02,2025-11-26,2025-11-26 02:00:00,2025-11-26 00:30:00,2025-11-26 02:30:00,completed,30,,Instrument Flying
S193,C030,I009,A006,B02,2025-11-22,2025-11-22 03:00:00,2025-11-22 00:23:00,2025-11-22 03:23:00,completed,23,,Circuit
S194,C008,I005,A005,B01,2026-02-27,2026-02-27 02:00:00,2026-02-27 00:52:00,2026-02-27 02:52:00,completed,52,,General Handling
S195,C018,I005,A005,B01,2025-12-19,2025-12-19 03:00:00,2025-12-19 00:40:00,2025-12-19 03:40:00,completed,40,,Circuit
S196,C010,I001,A005,B01,2026-02-15,2026-02-15 02:00:00,2026-02-15 00:51:00,2026-02-15 02:51:00,completed,51,,Cross-Country
S197,C009,I009,A005,B01,2026-04-17,2026-04-17 03:00:00,2026-04-17 00:20:00,2026-04-17 03:20:00,completed,20,,Cross-Country
S198,C008,I004,A001,B01,2026-01-29,2026-01-29 02:00:00,2026-01-29 00:02:00,2026-01-29 02:02:00,completed,2,,Circuit
S199,C001,I009,A003,B02,2025-11-28,2025-11-28 02:00:00,2025-11-28 00:15:00,2025-11-28 02:15:00,completed,15,,General Handling
S200,C011,I005,A001,B01,2025-11-29,2025-11-29 03:00:00,2025-11-29 00:00:00,2025-11-29 03:00:00,completed,-6,,Circuit
